dataset,seed,variant,train_acc,train_macro_f1,val_acc,val_macro_f1,test_acc,test_macro_f1,best_epoch
natops,1,spatial_only,0.6666666666666666,0.6382070502290701,0.4888888888888889,0.4541073124406458,0.5833333333333334,0.5440671949834286,3
natops,1,manifold_only,0.9111111111111111,0.9047010290584342,0.6444444444444445,0.6370680975944133,0.7,0.6586191464561381,3
natops,1,dual_stream,0.7777777777777778,0.7631985226262556,0.6,0.5592542722977506,0.6166666666666667,0.5685956179565893,3
