dataset,seed,arm,class_id,prototype_id,fit_anchor_count,fit_anchor_margin_mean,fit_anchor_same_dist_mean,anchor_coverage_ratio_mean,weight_mean,weight_min,weight_max,effective_sample_size,effective_sample_ratio,weight_scale,weight_kernel_name,fallback_unweighted
natops,1,c0_unweighted_a2r,0,0,8,0.5030810604720519,3.3916853806625946,,1.0,1.0,1.0,8.0,1.0,0.0,identity,False
natops,1,c0_unweighted_a2r,0,1,8,0.8630821976046186,3.3658088608275714,,1.0,1.0,1.0,8.0,1.0,0.0,identity,False
natops,1,c0_unweighted_a2r,0,2,8,1.5069689063347007,3.2825226152070544,,1.0,1.0,1.0,8.0,1.0,0.0,identity,False
natops,1,c0_unweighted_a2r,0,3,8,1.449892007164888,3.6591817966877294,,1.0,1.0,1.0,8.0,1.0,0.0,identity,False
natops,1,c0_unweighted_a2r,1,0,8,0.07289349594187888,3.798332794343885,,1.0,1.0,1.0,8.0,1.0,0.0,identity,False
natops,1,c0_unweighted_a2r,1,1,8,0.7180726574524804,3.577446430974101,,1.0,1.0,1.0,8.0,1.0,0.0,identity,False
natops,1,c0_unweighted_a2r,1,2,8,0.1991691609702559,3.2044888151779203,,1.0,1.0,1.0,8.0,1.0,0.0,identity,False
natops,1,c0_unweighted_a2r,1,3,8,2.9857216200771033,2.853768619094396,,1.0,1.0,1.0,8.0,1.0,0.0,identity,False
natops,1,c0_unweighted_a2r,2,0,8,-0.12472803024488971,3.7229515807711056,,1.0,1.0,1.0,8.0,1.0,0.0,identity,False
natops,1,c0_unweighted_a2r,2,1,8,0.6358442348894825,3.5613650577112184,,1.0,1.0,1.0,8.0,1.0,0.0,identity,False
natops,1,c0_unweighted_a2r,2,2,8,2.2104147952222473,3.2628284407927834,,1.0,1.0,1.0,8.0,1.0,0.0,identity,False
natops,1,c0_unweighted_a2r,2,3,8,1.071600603170148,3.1374271788575596,,1.0,1.0,1.0,8.0,1.0,0.0,identity,False
natops,1,c0_unweighted_a2r,3,0,8,0.8666836763548701,5.5515552595337905,,1.0,1.0,1.0,8.0,1.0,0.0,identity,False
natops,1,c0_unweighted_a2r,3,1,8,0.6595381847647819,5.190122141816204,,1.0,1.0,1.0,8.0,1.0,0.0,identity,False
natops,1,c0_unweighted_a2r,3,2,8,0.3082215927017101,5.659951445704815,,1.0,1.0,1.0,8.0,1.0,0.0,identity,False
natops,1,c0_unweighted_a2r,3,3,8,0.3782925220005946,5.443792992478468,,1.0,1.0,1.0,8.0,1.0,0.0,identity,False
natops,1,c0_unweighted_a2r,4,0,8,0.16860734398824007,5.5392778531031865,,1.0,1.0,1.0,8.0,1.0,0.0,identity,False
natops,1,c0_unweighted_a2r,4,1,8,0.5781129782054254,5.201372092565393,,1.0,1.0,1.0,8.0,1.0,0.0,identity,False
natops,1,c0_unweighted_a2r,4,2,8,0.48910183339944746,5.30459588039013,,1.0,1.0,1.0,8.0,1.0,0.0,identity,False
natops,1,c0_unweighted_a2r,4,3,8,0.8333842454178233,5.6624209184709215,,1.0,1.0,1.0,8.0,1.0,0.0,identity,False
natops,1,c0_unweighted_a2r,5,0,8,2.263090359487519,4.902410822182109,,1.0,1.0,1.0,8.0,1.0,0.0,identity,False
natops,1,c0_unweighted_a2r,5,1,8,2.7916580640797006,5.389351593903922,,1.0,1.0,1.0,8.0,1.0,0.0,identity,False
natops,1,c0_unweighted_a2r,5,2,8,1.2400131757563835,5.707639463858037,,1.0,1.0,1.0,8.0,1.0,0.0,identity,False
