dataset,seed,arm,class_id,prototype_id,fit_anchor_count,fit_anchor_margin_mean,fit_anchor_same_dist_mean,anchor_coverage_ratio_mean,weight_mean,weight_min,weight_max,effective_sample_size,effective_sample_ratio,weight_scale,weight_kernel_name,fallback_unweighted,opp_class_id,opp_prototype_id,same_pool_count,opp_pool_count,same_weight_mass,opp_weight_mass,same_opp_count_ratio,same_opp_weight_mass_ratio,same_proto_effective_sample_size,opp_proto_effective_sample_size,same_weight_scale,opp_weight_scale,same_fallback_unweighted,opp_fallback_unweighted
natops,1,,0,0,8,0.5030810604720519,3.3916853806625946,0.036036036036036036,,,,,,,,,,,,,,,,,,,,,,
natops,1,,0,1,8,0.8630821976046186,3.3658088608275714,0.06201550387596899,,,,,,,,,,,,,,,,,,,,,,
natops,1,,0,2,8,1.5069689063347007,3.2825226152070544,0.0963855421686747,,,,,,,,,,,,,,,,,,,,,,
natops,1,,0,3,8,1.449892007164888,3.6591817966877294,0.06779661016949153,,,,,,,,,,,,,,,,,,,,,,
natops,1,,2,0,8,-0.12472803024488971,3.7229515807711056,0.02768166089965398,,,,,,,,,,,,,,,,,,,,,,
natops,1,,2,1,8,0.6358442348894825,3.5613650577112184,0.06666666666666667,,,,,,,,,,,,,,,,,,,,,,
natops,1,,2,2,8,2.2104147952222473,3.2628284407927834,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,
natops,1,,2,3,8,1.071600603170148,3.1374271788575596,0.11267605633802817,,,,,,,,,,,,,,,,,,,,,,
natops,1,,1,0,8,0.07289349594187888,3.798332794343885,0.04938271604938271,,,,,,,,,,,,,,,,,,,,,,
natops,1,,1,1,8,0.7180726574524804,3.577446430974101,0.08333333333333333,,,,,,,,,,,,,,,,,,,,,,
natops,1,,1,2,8,0.1991691609702559,3.2044888151779203,0.036036036036036036,,,,,,,,,,,,,,,,,,,,,,
natops,1,,1,3,8,2.9857216200771033,2.853768619094396,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,
natops,1,,5,0,8,2.263090359487519,4.902410822182109,0.13333333333333333,,,,,,,,,,,,,,,,,,,,,,
natops,1,,5,1,8,2.7916580640797006,5.389351593903922,0.047619047619047616,,,,,,,,,,,,,,,,,,,,,,
natops,1,,5,2,8,1.2400131757563835,5.707639463858037,0.05161290322580645,,,,,,,,,,,,,,,,,,,,,,
natops,1,,5,3,8,2.404310571405978,5.405568880855812,0.047337278106508875,,,,,,,,,,,,,,,,,,,,,,
