dataset,seed,method,status,fail_reason,base_f1,aug_f1,gain,aug_count,aug_ratio,actual_aug_ratio,source_space,label_mode,backbone,train_split_only,uses_external_library,library_name,budget_matched,selection_rule,best_val_f1,stop_epoch,warning_count,fallback_count,method_elapsed_sec,activation_policy,activation_scope,activation_topk,activation_tau,operator_name,dictionary_estimator,safe_generator,bridge_realizer,transport_error_fro_mean,transport_error_logeuc_mean,bridge_cond_A_mean,metric_preservation_error_mean,safe_radius_ratio_mean,manifold_margin_mean,gamma_requested_mean,gamma_used_mean,gamma_zero_rate,host_geom_cosine_mean,host_conflict_rate,candidate_total_count,aug_total_count,requested_k_dir,effective_k_dir,safe_clip_rate,template_usage_entropy,top_template_concentration,aug_valid_rate,candidate_audit_rows,candidate_audit_available,candidate_accept_rate,candidate_physics_ok,candidate_audit_path,z_displacement_norm_mean,template_response_abs_mean,gamma_requested_mean_audit,gamma_used_mean_audit,safe_radius_ratio_mean_audit,safe_clip_rate_audit,gamma_zero_rate_audit,manifold_margin_mean_audit,transport_error_logeuc_mean_audit,template_usage_entropy_audit,top_template_concentration_audit,selection_stage,selector_name,feasible_rate,selector_accept_rate,pre_filter_reject_count,post_bridge_reject_count,reject_reason_zero_gamma,reject_reason_safe_radius,reject_reason_zero_direction,reject_reason_zero_margin,reject_reason_bridge_fail,reject_reason_transport_error,relevance_score_mean,safe_balance_score_mean,fidelity_score_mean,variety_score_mean,fv_score_mean,feasible_rate_audit,selector_accept_rate_audit,relevance_score_mean_audit,safe_balance_score_mean_audit,fidelity_score_mean_audit,variety_score_mean_audit,fv_score_mean_audit,gamma_used_gt_requested_count,safe_radius_ratio_out_of_bounds_count,direction_bank_source,selected_template_entropy
handmovementdirection,1,csta_topk_uniform_top5_ao_fisher,success,,0.2384428967090257,0.3012606687025292,0.06281777199350352,1280,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,ao_fisher_uniform_top5,0.382051282051282,17,0,0,8.931572558009066,uniform_topk,single_anchor,5,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0002854438434516,1.1122221764495777e-07,1.0792335394193295,0.1434014621641204,0.2067349542969722,0.9899009169526736,0.0999999999999999,0.0999999999999999,0.0,0.0,0.0,1280,1280,10,10,0.0,0.0,0.0,1.0,1280,True,1.0,True,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/csta_ao_pia_pilot7_v1/resnet1d_s123/_shards/shard2/_csta_runs/csta_topk_uniform_top5_ao_fisher/handmovementdirection/s1/candidate_audit/handmovementdirection_s1_csta_topk_uniform_top5_ao_fisher_candidate_audit.csv.gz,0.0999999993387609,,0.0999999999999999,0.0999999999999999,0.2067349542969722,0.0,0.0,0.9899009169526736,1.1122221764495777e-07,2.29947943123563,0.11171875,response_only,topk_uniform_top5,1.0,1.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,ao_fisher,0.0
handmovementdirection,1,csta_topk_uniform_top5_ao_contrastive,success,,0.2384428967090257,0.2529393453087352,0.0144964485997095,1280,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,ao_contrastive_uniform_top5,0.3693706293706293,15,0,0,8.526190072996542,uniform_topk,single_anchor,5,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0002859263418006,1.1121459792505442e-07,1.1134764042472152,0.1883474553993492,0.2067349544280071,0.9899009169526736,0.0999999999999999,0.0999999999999999,0.0,0.0,0.0,1280,1280,10,10,0.0,0.0,0.0,1.0,1280,True,1.0,True,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/csta_ao_pia_pilot7_v1/resnet1d_s123/_shards/shard2/_csta_runs/csta_topk_uniform_top5_ao_contrastive/handmovementdirection/s1/candidate_audit/handmovementdirection_s1_csta_topk_uniform_top5_ao_contrastive_candidate_audit.csv.gz,0.0999999994179233,,0.0999999999999999,0.0999999999999999,0.2067349544280071,0.0,0.0,0.9899009169526736,1.1121459792505442e-07,2.3004890438738177,0.10859375,response_only,topk_uniform_top5,1.0,1.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,ao_contrastive,0.0
handmovementdirection,2,csta_topk_uniform_top5_ao_fisher,success,,0.2030680813439434,0.2573060316688502,0.054237950324906775,1280,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,ao_fisher_uniform_top5,0.3628565062388592,19,0,0,9.146462526987307,uniform_topk,single_anchor,5,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0002854007325886,1.111979889717541e-07,1.0808327326792109,0.1423824717099891,0.2076197131634412,0.987985101412486,0.0999999999999999,0.0999999999999999,0.0,0.0,0.0,1280,1280,10,10,0.0,0.0,0.0,1.0,1280,True,1.0,True,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/csta_ao_pia_pilot7_v1/resnet1d_s123/_shards/shard2/_csta_runs/csta_topk_uniform_top5_ao_fisher/handmovementdirection/s2/candidate_audit/handmovementdirection_s2_csta_topk_uniform_top5_ao_fisher_candidate_audit.csv.gz,0.0999999999999999,,0.0999999999999999,0.0999999999999999,0.2076197131634412,0.0,0.0,0.987985101412486,1.111979889717541e-07,2.300290077896812,0.10859375,response_only,topk_uniform_top5,1.0,1.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,ao_fisher,0.0
handmovementdirection,2,csta_topk_uniform_top5_ao_contrastive,success,,0.2030680813439434,0.2333916083916083,0.03032352704766489,1280,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,ao_contrastive_uniform_top5,0.4558823529411765,16,0,0,8.906977643957362,uniform_topk,single_anchor,5,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0002857922595133,1.111790212904462e-07,1.100765644488146,0.1789109943879608,0.2076197107968874,0.987985101412486,0.0999999999999999,0.0999999999999999,0.0,0.0,0.0,1280,1280,10,10,0.0,0.0,0.0,1.0,1280,True,1.0,True,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/csta_ao_pia_pilot7_v1/resnet1d_s123/_shards/shard2/_csta_runs/csta_topk_uniform_top5_ao_contrastive/handmovementdirection/s2/candidate_audit/handmovementdirection_s2_csta_topk_uniform_top5_ao_contrastive_candidate_audit.csv.gz,0.0999999988544732,,0.0999999999999999,0.0999999999999999,0.2076197107968874,0.0,0.0,0.987985101412486,1.111790212904462e-07,2.298467567402184,0.11953125,response_only,topk_uniform_top5,1.0,1.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,ao_contrastive,0.0
handmovementdirection,3,csta_topk_uniform_top5_ao_fisher,success,,0.1875628456510809,0.3412640501073793,0.15370120445629842,1280,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,ao_fisher_uniform_top5,0.3324110671936758,25,0,0,9.748676595045254,uniform_topk,single_anchor,5,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0002853806089536,1.1148311414173215e-07,1.082526311114784,0.1444572305890682,0.2037342296557178,1.0034452843727364,0.0999999999999999,0.0999999999999999,0.0,0.0,0.0,1280,1280,10,10,0.0,0.0,0.0,1.0,1280,True,1.0,True,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/csta_ao_pia_pilot7_v1/resnet1d_s123/_shards/shard2/_csta_runs/csta_topk_uniform_top5_ao_fisher/handmovementdirection/s3/candidate_audit/handmovementdirection_s3_csta_topk_uniform_top5_ao_fisher_candidate_audit.csv.gz,0.0999999994272366,,0.0999999999999999,0.0999999999999999,0.2037342296557178,0.0,0.0,1.0034452843727364,1.1148311414173215e-07,2.3001839537799262,0.1125,response_only,topk_uniform_top5,1.0,1.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,ao_fisher,0.0
handmovementdirection,3,csta_topk_uniform_top5_ao_contrastive,success,,0.1875628456510809,0.3527552856500224,0.1651924399989415,1280,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,ao_contrastive_uniform_top5,0.3116071428571428,15,0,0,7.854563263943419,uniform_topk,single_anchor,5,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0002858362912823,1.1147034330684148e-07,1.1066854813218558,0.185207609374014,0.2037342308172181,1.0034452843727364,0.0999999999999999,0.0999999999999999,0.0,0.0,0.0,1280,1280,10,10,0.0,0.0,0.0,1.0,1280,True,1.0,True,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/csta_ao_pia_pilot7_v1/resnet1d_s123/_shards/shard2/_csta_runs/csta_topk_uniform_top5_ao_contrastive/handmovementdirection/s3/candidate_audit/handmovementdirection_s3_csta_topk_uniform_top5_ao_contrastive_candidate_audit.csv.gz,0.0999999999999999,,0.0999999999999999,0.0999999999999999,0.2037342308172181,0.0,0.0,1.0034452843727364,1.1147034330684148e-07,2.296712677172422,0.11796875,response_only,topk_uniform_top5,1.0,1.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,ao_contrastive,0.0
